BGC0000442	s__Aspergillus_nidulans
BGC0000443	s__Pseudomonas_sp_SHC52
BGC0000444	s__Streptomyces_turgidiscabies
BGC0000445	s__Micromonospora_sp_ML1
BGC0000446	s__Klebsiella_oxytoca
BGC0000447	s__Pseudomonas_costantinii
BGC0000448	s__Streptomyces_achromogenes
BGC0000449	s__Paenibacillus_terrae
BGC0000450	s__Streptomyces_triostinicus
BGC0000451	s__Teredinibacter_turnerae
BGC0000452	s__Brevibacillus_brevis
BGC0000453	s__Streptomyces_tsusimaensis
BGC0000454	s__Vibrio_anguillarum
BGC0000455	s__Amycolatopsis_orientalis
BGC0000456	s__Lecanicillium_sp_HF627
BGC0000457	s__Rhizobium_etli
BGC0000458	s__Streptomyces_vinaceus
BGC0000459	s__Streptomyces_griseoviridis
BGC0000460	s__Vibrio_vulnificus
BGC0000461	s__Lysobacter_enzymogenes
BGC0000462	s__Pseudomonas_putida
BGC0000463	s__Pseudomonas_putida
BGC0000464	s__Xenorhabdus_doucetiae
BGC0000465	s__Xenorhabdus_nematophila
BGC0000466	s__Streptomyces_sp_TP_A2060
BGC0000467	s__Yersinia_enterocolitica
BGC0000468	s__Streptomyces_bottropensis
BGC0000469	s__Streptomyces_sp_BC16019
BGC0000470	s__Streptomyces_sp_WMMB_272
BGC0000471	s__Oscillatoria_nigro-viridis
BGC0000472	s__Anabaena_sp_90
BGC0000473	s__Microcystis_aeruginosa
BGC0000474	s__Microcystis_aeruginosa
BGC0000475	s__Prochloron_didemni
BGC0000476	s__uncultured_Prochloron
BGC0000477	s__uncultured_Prochloron_sp_06037A
BGC0000478	s__uncultured_Prochloron
BGC0000479	s__Planktothrix_agardhii
BGC0000480	s__Nostoc_spongiaeforme
BGC0000481	s__Trichodesmium_erythraeum
BGC0000482	s__uncultured_Prochloron
BGC0000483	s__Microcystis_aeruginosa
BGC0000484	s__Lactobacillus_plantarum
BGC0000485	s__Lactobacillus_acidophilus
BGC0000486	s__Butyrivibrio_fibrisolvens
BGC0000487	s__Carnobacterium_maltaromaticum
BGC0000488	s__Clostridium_beijerinckii
BGC0000489	s__Enterococcus_faecalis
BGC0000490	s__Lactococcus_garvieae
BGC0000491	s__Lactobacillus_gasseri
BGC0000492	s__Lactococcus_sp_QU_12
BGC0000493	s__Leuconostoc_mesenteroides
BGC0000494	s__Streptococcus_uberis
BGC0000495	s__Actinoplanes_garbadinensis
BGC0000496	s__Streptomyces_griseus
BGC0000497	s__Streptococcus_ratti
BGC0000498	s__Streptococcus_equinus
BGC0000499	s__Butyrivibrio_fibrisolvens
BGC0000500	s__Carnobacterium_maltaromaticum
BGC0000501	s__Catenulispora_acidiphila
BGC0000502	s__Bacillus_cereus
BGC0000503	s__Streptomyces_cinnamoneus
BGC0000504	s__Plasmid_pAD1
BGC0000505	s__Enterococcus_faecalis
BGC0000506	s__Bacillus_subtilis
BGC0000507	s__Staphylococcus_epidermidis
BGC0000508	s__Staphylococcus_epidermidis
BGC0000509	s__Staphylococcus_epidermidis
BGC0000510	s__Staphylococcus_epidermidis
BGC0000511	s__Bacillus_subtilis
BGC0000513	s__Saccharopolyspora_erythraea
BGC0000514	s__Staphylococcus_gallinarum
BGC0000515	s__Geobacillus_thermodenitrificans
BGC0000516	s__Geobacillus_thermodenitrificans
BGC0000517	s__Bacillus_halodurans
BGC0000518	s__Streptomyces_viridochromogenes
BGC0000519	s__Actinomadura_namibiensis
BGC0000520	s__Lactococcus_lactis
BGC0000521	s__Lactococcus_lactis
BGC0000522	s__Lactococcus_lactis
BGC0000523	s__Lactobacillus_sakei
BGC0000525	s__Bacillus_licheniformis
BGC0000526	s__Streptococcus_macedonicus
BGC0000527	s__Bacillus_sp_HIL_Y85/54728
BGC0000528	s__Clavibacter_michiganensis
BGC0000529	s__Microbispora_corallina
BGC0000530	s__Streptococcus_mutans
BGC0000531	s__Streptococcus_mutans
BGC0000532	s__Streptococcus_mutans
BGC0000533	s__Streptococcus_mutans
BGC0000534	s__Streptococcus_mutans
BGC0000535	s__Lactococcus_lactis
BGC0000536	s__Lactococcus_lactis
BGC0000537	s__Streptococcus_uberis
BGC0000538	s__Lactococcus_lactis
BGC0000539	s__Staphylococcus_warneri
BGC0000540	s__Paenibacillus_polymyxa
BGC0000541	s__Paenibacillus_polymyxa
BGC0000542	s__Paenibacillus_terrae
BGC0000543	s__Staphylococcus_epidermidis
BGC0000544	s__Planomonospora_alba
BGC0000545	s__Ruminococcus_gnavus
BGC0000546	s__Streptomyces_albidoflavus
BGC0000547	s__Streptococcus_salivarius
BGC0000548	s__Streptococcus_salivarius
BGC0000549	s__Streptococcus_salivarius
BGC0000550	s__Streptococcus_salivarius
BGC0000551	s__Streptomyces_coelicolor
BGC0000552	s__Streptococcus_mutans
BGC0000553	s__Streptomyces_filamentosus
BGC0000554	s__Streptomyces_filamentosus
BGC0000555	s__Staphylococcus_aureus
BGC0000556	s__Streptococcus_pyogenes
BGC0000557	s__Streptococcus_pyogenes
BGC0000558	s__Bacillus_subtilis
BGC0000559	s__Bacillus_subtilis
BGC0000560	s__Bacillus_subtilis
BGC0000561	s__Streptococcus_thermophilus
BGC0000562	s__Kocuria_varians
BGC0000563	s__Streptomyces_venezuelae
BGC0000564	s__Clostridium_botulinum
BGC0000565	s__Streptomyces_sp_TP_A0584
BGC0000566	s__Streptococcus_pyogenes
BGC0000567	s__Rhizobium_leguminosarum
BGC0000568	s__Escherichia_coli
BGC0000569	s__Bacillus_velezensis
BGC0000570	s__Asticcacaulis_excentricus
BGC0000571	s__Paraburkholderia_rhizoxinica
BGC0000572	s__Burkholderia_thailandensis
BGC0000573	s__Caulobacter_sp_K31
BGC0000574	s__Caulobacter_segnis
BGC0000575	s__Rhodococcus_jostii
BGC0000576	s__Rubrivivax_gelatinosus
BGC0000577	s__Sphingobium_japonicum
BGC0000578	s__Streptomyces_filamentosus
BGC0000579	s__Streptomyces_sviceus
BGC0000580	s__Xanthomonas_gardneri
BGC0000581	s__Escherichia_coli
BGC0000582	s__Streptomyces_sp_OH_4156
BGC0000583	s__Streptomyces_griseus
BGC0000584	s__Escherichia_coli
BGC0000585	s__Escherichia_coli
BGC0000586	s__Klebsiella_pneumoniae
BGC0000587	s__Escherichia_coli
BGC0000588	s__Escherichia_coli
BGC0000589	s__Escherichia_coli
BGC0000590	s__Escherichia_coli
BGC0000591	s__Alteromonas_sp_B_10_31
BGC0000592	s__Microcystis_aeruginosa
BGC0000593	s__Microcystis_aeruginosa
BGC0000594	s__Planktothrix_agardhii
BGC0000595	s__Streptomyces_coelicolor
BGC0000596	s__Streptomyces_lividans
BGC0000597	s__Streptomyces_sp_e14
BGC0000598	s__Candidatus_Entotheonella
BGC0000599	s__Bacillus_thuringiensis
BGC0000600	s__Bacillus_thuringiensis
BGC0000601	s__Bacillus_subtilis
BGC0000602	s__Bacillus_subtilis
BGC0000603	s__Streptomyces_hygroscopicus
BGC0000604	s__Nonomuraea_sp_WU8817
BGC0000605	s__Streptomyces_sp_ATCC_55365
BGC0000606	s__Streptomyces_lactacystinaeus
BGC0000607	s__Macrococcus_caseolyticus
BGC0000608	s__Actinokineospora_fastidiosa
